REFCODE,CC,CH,CCl,CO,CS,CBr,CN,HBr,HH,HO,HS,HCl,HN,OCl,OO,OS,BrO,ON,NN,ClCl,NS,SS,NCl,SCl,ClBr,SBr,NBr,BrBr,FF,FO,FC,FH,FS,FCl,FN,FBr,II,BrI,ClI,FI,SI,OI,NI,CI,HI,BAND GAP
RICBUB,10.8,15.8,0,0,0,1.4,0,37.7,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.431
RINFAX,11.7,27.4,0,0,0,0,0.3,0,30.7,27.3,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.747
RIGVEJ02,7,9.2,0,7.6,0,0,2.2,0,10.3,12,0,0,0.2,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,0,10.6,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.496
ROMMUC,2,12.8,1.5,0.1,0,0,0.1,0,25.6,4.4,0,11.1,5.9,0,0,0,0,1,0,1.1,0,0,0.5,0,0,0,0,0,0,0.3,8.2,24.4,0,1,0,0,0,0,0,0,0,0,0,0,0,3.017
RUNKIW,17.5,10.5,0,0,0,0,4.3,0,28.3,0,0,0,11,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,2,0,4.6,21.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,1.221
RUNKOC,16.2,15.3,0,0,0,0,3.9,0,24.1,0,0,0,10.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1.1,0,2.5,25.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.19
RUNKUI,15.7,8.4,0,0,0,0,4.1,0,9.5,0,0,0,9.7,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,6.4,0,9,36,0,0,1.2,0,0,0,0,0,0,0,0,0,0,1.108
RUNLAP,16,11.3,0,0,0,0,3.5,0,5.8,0,0,0,7.9,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,13.1,0,9.9,31.6,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.734
SOFWIV01,0,29,0,0,0,4.7,0,41.6,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.822
SOYYAI,7.2,13,0,3.4,0,1.7,0,26.6,11.7,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,4,4.1,3.3,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.434
SIBTAZ,14.1,15.7,0.3,0,0,3.1,1.5,6.2,11,0,0,20.2,0.4,0,0,0,0,0,0,1.8,0,0,0,0,0,0,3.7,1.5,0,0,6.5,11,0,1.6,1.4,0,0,0,0,0,0,0,0,0,0,2.457
SODQEJ,5.6,32.4,0,0,0,0,1.4,0,54.7,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.427
SUNSUQ,4.5,23.6,0,0,0,0.8,4.8,17.8,42.6,0,0,0,5.7,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.363
SUNTIF,18.6,11.8,0,0,0,2.1,1.5,15.2,33,0,0,0,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.043
TAHGAK01,0,19.9,0,0,0,9.2,0,22.6,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61
TARPAF01,18.8,16,0,0,0,0,4.9,0,22.5,0,0,0,37.7,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.551
TEFPUR,0.5,23.3,0,0,0,0,0,0,25.5,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,4.9,26.1,0,0,5.6,0,0,0,0,0,0,0,0,0,0,3.459
TETBBZ04,7.9,8.8,0,0,0,7.3,0,30.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.444
THALID12,2.3,14.1,0,6.3,0,0,1.9,0,27.8,45.5,0,0,0.8,0,0.3,0,0,0.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.947
TIHBIW,1.6,21,0,0,0,0,0,0,44.7,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0.3,27.5,3.09
TIPTOD,10,8.5,8.6,0,0,0,0,0,9.3,0,0,39,8.1,0,0,0,0,0,0,10.8,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86
TOLNAK,8.7,32.9,0,0.6,0,0,0,0,41.2,15.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.967
TUNRIE,1.9,22.1,0,0,0,10.7,0,20.1,41.1,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.086
UBUCUR,16.9,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925
UCECAG02,8.1,4.9,2.7,2.3,0,0,2.9,0,2.9,43.3,0,1.7,3.4,7.6,9,0,0,4.4,0.2,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.913
UCENOG01,8.2,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,19.3,43.5,0,0,0,0,0,6.7,0,2.095
UCEPAU,8.3,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,46.9,0,0,0,0,6.7,0,2.521
UKIXAO,7.6,5.5,0,0,0,6.2,1,18.9,3.9,0,0,0,5.2,0,0,0,0,0,6.1,0,0,0,0,0,0,0,31,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ULAQAZ,7.5,13.4,0,0,0,5.6,5.7,21,36.1,0,0,0,9.8,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.904
UNOXEB,6.7,17.8,0,0,0.2,0,0.5,0,52.1,0,19.8,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.068
UKIWOB,8.2,5.8,6.6,0,0,0,0.7,0,0.4,0,0,11.1,20.6,0,0,0,0,0,4.3,24.1,0,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98
ULEBOD,10.4,5,0,2.4,0,1.6,2.5,15.9,14.4,32.5,0,0,0.1,0,0,0,11.7,0,0,0,0,0,0,0,0,0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.442
SUKTEY,0.1,29.1,0,0,0,1.6,0.4,14.7,32.3,16.8,0,0,1.7,0,0,0,1,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.387
TAGVEC02,8.6,6.8,8.7,0,0,0,15.3,0,1.5,0,0,12.8,16.9,0,0,0,0,0,3.2,10,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.958
TAHFIR,3.1,13,10.1,3.8,0,0,8.7,0,0,0.1,0,7.1,13.2,13.3,0,0,0,7.1,3.8,3.8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.191
TAQBUJ,2.3,22.6,2.7,0,0,0,2.5,0,42.8,0,0,12.2,13.2,0,0,0,0,0,0,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.732
UCEPEY01,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,12.4,0,0,0,0,0,24.6,0,0,39.2,0,0,0,11.6,0,2.943
UHUHUC,12.4,7.6,0,0,0,6.4,0.6,2.2,5.7,0,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,6.9,0,7.9,18,0,0,5.3,13.4,0,0,0,0,0,0,0,0,0,2.755
UYOVOU,5.2,20.4,0,0,0,0,0.4,0,32.3,0,0,0,2,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,5.4,7.5,24,2.849
VARNAF,0.8,48.8,2.3,0,0,0,1.5,0,14.7,0,0,22.8,3.6,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07
WAMJAV,3.5,0.1,4.6,0,0,0,0,0,35.9,0,0,51.7,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.794
SULCEJ,4.4,43.6,0,0,0,0,0,0,40.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2.518
WOLWOK,5.3,10.1,10.7,2.1,0,0,0,0,17.4,14.5,0,31.2,0,0.4,0,0,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.037
WULTED,0.5,17.5,0,0,0,0,0,0,72.4,6.4,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.287
WULZAF,7.3,26.3,1.6,0,0,0,0.4,0,32,0,0,15.6,15.6,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.672
XAYBOQ,5,38.5,0,0,1.4,0,0,0,53.6,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.857
XAYCEH,6.2,27.4,0,0,0.2,0,0,0,23.5,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,4,34.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.652
XEBPEB,4.1,8.9,0,3,0,0,0,0,43.2,40.5,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.302
XIPMEP,18.3,15.1,0,0,0,0,0,0,43.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,4.3,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.413
XIPMIT,11.1,14.4,0,0.4,0,0,0,0,41.4,10,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,2.8,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44
XUCPIW,5.9,25.7,1.8,0,0,0.6,1,12.5,33.8,0,0,9.9,8.4,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.726
XUFKUG,0,25,0,0,0,0,0,0,59.8,15,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.014
XUJZEJ,13.1,15.7,0,0,0,0,7.5,0,24.9,0,0,0,36.8,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.413
YAFYIP,6.9,34.8,0.3,0,0,0,1,0,30.1,0,0,24.7,1.8,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55
YAQZUM,10,5.9,0,1.2,0,3.9,0.8,17.7,14.3,33.6,0,0,0.2,0,1.8,0,5.1,2.8,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.355
YADKUL,0,0.2,0,0,0,18.3,0,26.4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.193
YIHFOL,0.1,36.7,0,2.2,0,0,0,0,38.6,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.695
SULREX,13.6,4.4,8.1,9.6,0,0,3.8,0,1,6.9,0,1.5,0,19.7,0,0,0,0,0,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.299
TIKFAW01,0.4,26.2,0,0,0,5.9,0,18,49.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.826
TUTXIQ,2.6,21.1,0,0.7,0,0,0,0,50.6,14.2,0,0,0.6,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.277
TUTYAJ,2.3,17.1,0,0.3,0,0,0,0,41.4,13.6,0,0,0.6,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,1.9,4.7,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34
UTISAS,7.6,9.5,0,2.4,0,0,0,0,34.4,24.2,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0.3,0,6.2,9.5,2.627
UXOCIV,0.3,27.4,1.5,2.3,0,0,0,0,26.4,17.4,0,19.8,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.763
WOLWEA,8.5,19.5,4.1,0,0,0,0,0,33.9,16.1,0,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.082
WAWFUW,0.4,7.1,0,5.9,0,0,0,0,9.7,38,0,0,0.3,0,9,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,11.7,0.2,7.9,6.1,2.227
WIYDOZ,2,31.5,0,0,0,0,0,0,51.9,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.542
UZOWEM,12.2,0.6,8.7,0,0,0,0,0,12,10.1,0,24.2,0,2.4,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.466
WOYTAH,0.6,38,0,0,0,0,0,0,60.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.295
XACNIA,0.1,15,0,1,0,0,0,0,48.1,34,0,0,0.1,0,1.4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.903
XIQCUX,21.3,6.4,0,0,0,2.4,0,13.4,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,7.2,0,3.4,25.4,0,0,0,12.5,0,0,0,0,0,0,0,0,0,2.109
XORYIM,6.4,4.7,0,7.9,0,0,2,0,6.3,13.1,0,0,0.9,0,4,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,24.2,0,1.7,20.1,1.815
YEJLII04,6.9,6.5,0,5.7,0,0,3.2,0,18.8,23.7,0,0,2.7,0,1.6,0,0,0.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.7,0,0.6,19.1,1.853
USIDAD,10.7,18,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,9.9,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.435
XOWFOF,7,21.2,0,0,0,0,3.8,0,37.4,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,2.8,14.9,2.538
YODLIN01,5.5,21,2.2,0,0,0,0,0,32,0,0,38.3,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.406
YORSEF,2.2,24,0,1.4,0,0,0,0,44.5,15.1,0,0,11.2,0,1.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.097
YOVCAO,8.5,11,0.8,1.4,0,0,0.6,0,15,28.3,0,15.1,5.7,6.7,2.3,0,0,2.6,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58
YOXWEO,10.3,8.7,0,0,3,0,2.8,0,26.5,0,4,0,8.4,0,0,0,0,0,0,0,0.7,0.4,0,0,0,0,0,0,6.2,0,9.7,17.1,0.7,0,1.7,0,0,0,0,0,0,0,0,0,0,1.64
YUYPUD02,15.4,14.2,0,0,0,0,7.4,0,12.1,0,0,0,49.7,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.343
ZOTRIL,4.7,10.5,0,0,3.1,4.3,5.9,21.5,15.2,0,9.9,0,4.7,0,0,0,0,0,0,0,2.3,1.4,0,0,0,8.3,4.6,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.411
ZUNVOV,6.3,27.1,0,2.5,0,0,3,0,33.5,5.6,0,0,4.8,0,0,0,0,1.7,0.1,0,0,0,0,0,0,0,0,0,0.8,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.473
ZUSXIW,7,27.7,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,5.2,29.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.473
ZZZBLP03,17.4,15.1,2.4,0,0,0,0,0,31,0,0,32.6,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.768
ZZZLKY01,8.1,44.3,0,0,0,0,3.7,0,39.4,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.281
SIBZOT,8,27.8,0,0,0,3.1,1.4,4.9,39,0,0,0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.798
SIHPEG,6.7,31.1,0,3.3,0,0,5.9,0,42,5.2,0,0,4.6,0,0.1,0,0,0.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.926
TUBFED,4.4,21.4,2.8,0,0,0,2,0,41.4,0,0,15,11.3,0,0,0,0,0,0.5,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.664
TITZUS,0,20.5,0,0,0,0,0,0,42.4,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,6.7,26.2,
XAYDOS,1.3,41.8,0,0.1,0.8,0,0,0,46.1,8.3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.958
YOZLAC,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,0,0,16.8,0,0,42.7,0,0,0,10.6,0,3.245
ZOMQID,2.2,7.7,0,0.1,0.2,0,0,0,30.3,14.8,5.5,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,33.6,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1.603
ABEHUL,0.3,23.7,0,0,0.5,0,0,0,45.7,0,12.7,0,17.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.802
ABESIK,12.3,9.3,7.8,0,0,0,0,0,21.7,0,0,44.7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.314
ACEQUV,8.2,11.7,0,3.8,0,0,0,0,33.9,20.7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.7,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.182
ACUVOL,2.7,16.1,0,0,0,0,3.2,0,44.3,11.6,0,0,21,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.008
AFOFEI,8.4,12.1,0,2.4,0,3.2,0,19.3,12.5,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.2,0.5,1.8,15.4,0,0,0,5.6,0,0,0,0,0,0,0,0,0,2.516
AGEPOT,9.3,22.8,0,0.4,0,0,2.7,0,38.8,24.5,0,0,0.7,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.771
AGILAE,0.2,17.4,0,0,0,0,0,0,69.1,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01
AHACUJ,5.8,23.9,0,0,0,5.2,3,11.4,41.4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.788
AHEYUI,10.2,20.7,0,0.6,0,0,0,0,31.4,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.1,4.5,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789
