REFCODE,CC,CH,CCl,CO,CS,CBr,CN,HBr,HH,HO,HS,HCl,HN,OCl,OO,OS,BrO,ON,NN,ClCl,NS,SS,NCl,SCl,ClBr,SBr,NBr,BrBr,FF,FO,FC,FH,FS,FCl,FN,FBr,II,BrI,ClI,FI,SI,OI,NI,CI,HI,BAND GAP
AHUMUL,3.4,16.3,3.2,0,0,0,2.6,0,22.6,0,0,27.4,15.2,0,0,0,0,0,0.8,3.9,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.999
AKERAK,15,34.7,0,0,0,0.6,0,10.3,39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.885
AKUPAY,8.5,12.1,0,0.2,0,0,1.3,0,10,25.8,0,0,0.1,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0.4,4.7,25.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.283
AKUPEC,5.3,19.9,0,2.5,0,0,0,0,8.3,20.1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,10.1,4,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.171
ALOWAZ01,7.7,16.3,0,0,0,7.7,0,36.6,31.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.641
ALOWAZ02,7.8,16.1,0,0,0,7.6,0,36.7,31.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.634
APOWOS,4.3,34.2,0,0,0,3,0,9.4,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.956
APUNAB,0.2,21.7,3.9,0.5,0,0,0,0,39.4,5.4,0,25,2.4,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.907
AQAZAV,3.8,20.9,3.6,0,0,0,2,0,30.6,14.3,0,17.8,6,0,0,0,0,0,0,0.6,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.302
AQEJEM,16.6,6.1,0,0.6,8,0,0.5,0,10.5,14.5,9.3,0,6.1,0,0.2,1.3,0,0,0,0,0.4,1.6,0,0,0,0,0,0,3.4,0,5.8,12,2.2,0,0.8,0,0,0,0,0,0,0,0,0,0,1.319
AQUNUW,6.2,34.3,0,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.7,5.6,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974
ASIWIJ,11.6,5.2,4.7,0,0,0.5,3.5,10.7,14.9,0,0,2.2,7.7,0,0,0,0,0,0.6,0.8,0,0,0.7,0,1.7,0,0,0.1,6,0,1.2,15.4,0,7.8,0,4.9,0,0,0,0,0,0,0,0,0,2.091
ATOZOY01,6,17.9,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2,0,10.2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85
ATUNUZ,12.2,21.4,1.7,0.9,0,0,0.8,0,28.7,13,0,15.7,5.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.621
AVAGUA,11.4,11.6,0,6.3,0,0,0,0,24.7,18.9,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,4.2,0,0.1,21.2,1.043
AVAHOU,0,13.7,0,0,0,0,0,0,67.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.674
AWOBIZ,11.6,7.3,4.6,0,0,0,5,0,6.9,0,0,12,23.2,0,0,0,0,0,0.4,4.5,0,0,0.1,0,0,0,0,0,1.3,0,3.5,11.6,0,8,0,0,0,0,0,0,0,0,0,0,0,3.464
AWOBUL,12.5,10.3,1.3,0,0,0,3.8,0,5.1,0,0,8.5,24.3,0,0,0,0,0,0.3,7.6,0,0,0.3,0,0,0,0,0,1.2,0,1.4,13.9,0,9.6,0,0,0,0,0,0,0,0,0,0,0,3.115
AXUBUR01,2.8,46.2,0,0,0,0,0,0,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,6.7,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.549
AXUCEC,5.8,34.9,0,0,0,0,0,0,35.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,5,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.369
AYAMUJ,2.6,10.4,0,0,0,4.7,2.6,19.5,33.4,0,25.1,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.052
AYUFAC01,8.3,22.2,0,1.3,0,5.2,0,14.7,37.6,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94
AZBNBT02,6.2,9.7,0,0,0,8.7,8.6,24.4,33.9,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.872
AZIBER,9.8,9.9,3,3.3,0,0,0,0,9.5,14.4,0,37,0,5.1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.646
AZIBIV,9.2,9.7,4.8,2.4,0,0,0,0,12.2,17.1,0,23.1,0,3.1,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73
AZUGIM,12.1,13.7,0,0.2,0,1.3,4.7,13.3,37.6,10,0,0,2.7,0,0.5,0,2.6,0,0.4,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.766
BBEZAM04,3.4,18.7,0,0.8,0,4.8,1.9,22.3,24.9,16.9,0,0,1.2,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448
BEGJEE,0.7,47.1,0,0,0.1,0,0,0,32.1,0,19.6,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.145
BENCLN02,7.2,2.2,5.9,5.4,0,0,0.4,0,2.4,33,0,11.9,1.3,8.8,15.1,0,0,6.3,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.862
BENMOW02,7.5,14.2,0,3.4,0,0,0,0,18.6,21.3,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,1.9,26.2,2.796
BEQZEE,10.1,12.2,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,5,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.625
BESSOJ,14.7,16.7,0,0,0,0,0,0,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,5.2,35.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675
BETMET,10.4,8,0,2.7,0,0,2.5,0,2.1,16.6,0,0,17.4,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,4.6,3,11.6,13.5,0,0,5,0,0,0,0,0,0,0,0,0,0,2.213
BEWYOR,0.6,1.4,0,17.2,0,0,1.9,0,2.9,35.1,0,0,2,0,13.8,0,0,10.5,0.2,0,0,0,0,0,0,0,0,0,0,5.6,4.9,1.3,0,0,2.7,0,0,0,0,0,0,0,0,0,0,2.197
BIHJOT,4.9,21.5,0,1.9,0,0,0,0,38.9,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,2.2,4.1,3.068
BIHJUZ,1.4,23.1,0,2.1,0,0,0,0,48.8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.4,3.2,3.298
BILGIM,4.7,15.2,0.4,0,0,0,0,0,47.4,7.9,0,19.6,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.777
BIPHDS02,0.3,42.7,0,0,1,0,0,0,26.7,0,26.8,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94
BIRKIW03,0.5,32.6,0,0,14.1,0,0,0,21.4,0,27.7,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.901
BISBAI,10,22.2,0,0,0,8.3,0,14,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,2.1,23.9,3.133
BOPSAA02,0,49,0,0,0,0,0,0,39.6,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.004
BOXTEP,9.3,15,1.9,0,0,0,0,0,6.4,0,0,15.5,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,13.4,0,7.9,26.2,0,2.6,0,0,0,0,0,0,0,0,0,0,0,2.407
BOYZUL,0,22.4,0,2,0,0,2.3,0,39.6,5.5,0,0,25.6,0,0,0,0,1.2,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.476
BOZKIL,5.9,42.2,0,0,0,1.6,0,14.8,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.466
BRANIL,6.3,10.3,0,0,0,7.1,0.1,40,9.4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.985
BRBZAC01,8.3,12.4,0,3.6,0,2.8,0,23.7,20.7,23.6,0,0,0,0,2,0,0.3,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.086
BRBZAP01,8.6,13.2,0,3.7,0,1.5,0,25.6,19.5,21.9,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.153
CABYAG01,10.5,16.1,0,2.9,2.8,0,0,0,31.9,9.4,25.4,0,0,0,0,0.6,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.844
CAKMEI,4.1,25.3,2.5,0,0.1,0,0,0,45.3,0,0,17.2,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.268
CAKMIM,3.8,23.9,3.7,0,0,0,0.4,0,47.3,0,0.5,15.8,4.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.239
CAMSIT,8.6,7.5,0,1.2,0,0,2,0,17.1,30.1,0,0,2.2,0,0,0,0,0.4,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,2.4,1.7,15.3,1.474
CARDOO,7.9,7.7,3,2,0,0,2.2,0,2.5,27.1,0,26.4,0.4,6.9,0.4,0,0,0.1,0,8,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.618
CARJEM,14.4,16.1,0,0,0,6.2,0,37.3,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.081
CAXNUL01,15.5,7,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,0,7.4,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.891
CAXNUL06,15.6,7,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,7.7,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.883
CEPCAC,13.2,3.1,0,0,5.8,0,6.4,0,3.4,0,4.2,0,9.3,0,0,0,0,0,0.6,0,10.5,10.6,0,0,0,0,0,0,12.1,0,6.1,14.1,0,0,0.7,0,0,0,0,0,0,0,0,0,0,1.414
CEPCEG,9.6,5.4,11,0,3.5,0,5.8,0,5.4,0,1.4,3,13.6,0,0,0,0,0,0.8,10.3,2.3,4.6,1.1,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.161
CEYWOS,10.2,15.1,1.1,2.5,0,0,1,0,29.2,11.5,0,17.6,9.2,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
CHLQUI10,11.8,14,2.7,0,0,0,2.8,0,33.1,0,0,24.7,9.7,0,0,0,0,0,0.1,0.8,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.888
CIHNIS,4.3,31.8,0,0,0,3.5,2.3,20.3,26.5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.097
CIKSIZ,8.7,17.4,0,1.3,0,0,5.2,0,39.1,19.5,0,0,7.5,0,0.5,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.718
CIRSIH,4.8,30.2,0,0,0,2.8,0,12.6,44.8,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.362
CIXJOJ,9,4.4,0,0,0.2,0,0.2,0,44,0,15.4,0,24,0,0,0,0,0,0.8,0,1.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.423
CIYQUY,0.4,22.5,0,0,0,0,0,0,66.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,3.645
CIYREJ,1,14.5,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,1,7.7,3.317
CIYXUF,5.6,17.1,0,0,0,0,0,0,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995
CLANIC05,0,24.6,6.6,0,0,0,0.2,0,36.7,0,0,27,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.749
CLBZAC02,9.6,10.5,3,4.3,0,0,0,0,21.9,23.4,0,25.2,0,0.1,0.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.998
CLBZAP03,8.8,13.7,1.5,3.8,0,0,0,0,20.6,22.7,0,22.3,0,0,1.5,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.213
CLBZAP10,8.7,13.7,1.5,3.8,0,0,0,0,20.6,22.7,0,22.3,0,0,1.5,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.214
CODBON,6.1,10,0,0,0,0,0.3,0,40.3,0,14.7,0,28,0,0,0,0,0,0.1,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13
COFHEM,6.1,20,0,1.8,0,0,0,0,19.9,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,2.2,8,29.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.904
COGBIL,3.9,25.9,7.1,0,0,0,2.9,0,16.4,0,0,29.3,8.3,0,0,0,0,0,0,3.1,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973
COGPOF,4.9,2.8,13.2,0.3,0,0,0,0,1.6,13.6,0,11.7,0,17.6,3.8,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,11.2,0,0,8.4,0.3,1.8,7.2,2.128
COMWOQ04,1.6,35.3,0,1.8,0,0,1.2,0,39.9,17.1,0,0,1.9,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.685
COTHAW,4.6,17.5,0,1,0,0,2.3,18.3,36.1,18.9,0,0,0.2,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.017
COTHEA,3.8,16.6,0,0.9,0,0,1.9,16.5,42.8,15.4,0,0,0.4,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.082
COTHIE,0.2,15.9,0,1.9,0,0,0,14.6,28.9,30.7,0,0,0,0,0.9,0,6.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.284
COTHOK,1.9,15.8,0,1.1,0,0.3,0,17.1,31.4,27.7,0,0,1.6,0,0.6,0,1.9,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.036
COTHUQ,0.4,12.8,0,5,0,0,0,0,30.6,44.8,0,0,2.3,0,2.7,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.802
COTJAY,0.9,16.9,0,1.8,0,0,0,14.5,39.1,21.1,0,0,1.2,0,0.6,0,3.1,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.935
COTJEC,0.3,15.8,0,1.2,0,1.1,0.4,13.9,36.1,24.4,0,0,0.1,0,1.3,0,5.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.221
COUMAR11,3,32.1,0,5.7,0,0,0,0,29.5,28.9,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.611
CURPUC,12.7,7,0,7.2,0,1.3,0,18.8,12.8,31.9,0,0,0,0,1.7,0,5.3,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.309
CURQEM,0.5,14.2,0,0,0,3.4,0,19.3,52.9,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.588
CURQUC,0.5,9.4,2.1,3.5,0,0,0,0,18.1,25.4,0,11.1,23.6,0.5,0.1,0,0,0.9,0.5,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.653
CUTZOH,0.5,17.9,0,0,0,0,0,0,47.5,5.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,1.1,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.989
CUYZUT,5.9,20.3,0,3.2,0,5.7,0,21.9,26.8,11.5,0,0,2.9,0,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.337
DADZIS,5.8,33.2,5.3,0,0,0,0,0,23.4,12,0,17.6,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.423
DADZOY,8.9,21.5,11.9,1,0,0,0,0,22.1,13.1,0,18.7,0,2.5,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48
DADZUE,5.7,34.6,4.9,0.1,0,0,0,0,23.4,11.5,0,17.4,0,0.6,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.585
DANYIB,17.9,13,0,0,1.2,3.5,0,18.2,32.2,0,1.9,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,7.5,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48
DANYOH,5.7,24.2,0,3.6,0,3.8,0,8.5,40.4,13.1,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.271
DANYUN,6.6,23.9,0,0.7,0,1.7,0,7.7,37.7,12.4,9,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.279
DANZEY,12.3,22.2,0,1.3,1.4,0,0,9.9,30.8,11.6,7.4,0,0,0,0,0.5,2.2,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818
DBANTH12,18,15.3,0,0,0,1.6,0,25.3,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.605
DCACNP01,13.3,12.3,2,0,0,0,0,0,35.9,0,0,33.5,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.608
DCHLAN01,9.4,12,2.5,0,0,0,0.1,0,20.9,0,0,42.7,4.7,0,0,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42
DCLBEN03,0.8,28.5,3.7,0,0,0,0,0,10.7,0,0,45.1,0,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.848
DEJTAP,0.5,6.7,0,1.6,0,8.2,0,12,33.9,34.1,0,0,0.3,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.396
